amazon_barcode,first_slam_time,route,shift,last_chute,level_0,lumin_dea_level_1,level_2,dea_bucket,process_path,slam_station,cpt,departure_time,dea_miss_qty,first_divert_time,container_close
TBA932847561018,2024-03-15 09:35:16,CX-9011,Night,F05,Good,On Time,Delivered,Good - On Time,UPS,SS-03,2024-03-15 12:00:00,2024-03-15 11:45:00,0,2024-03-15 09:36:00,2024-03-15 11:30:00
TBA932847561019,2024-03-15 09:48:33,CX-3344,Night,F09,Sortation,Chute Missort,Configuration Error,Chute Missort - Config,AMZL,SS-04,2024-03-15 12:00:00,2024-03-15 11:45:00,1,2024-03-15 09:49:00,2024-03-15 11:30:00
TBA932847561020,2024-03-15 10:02:55,CX-7832,Night,F18,Good,On Time,Delivered,Good - On Time,AMZL,SS-02,2024-03-15 12:00:00,2024-03-15 11:45:00,0,2024-03-15 10:03:00,2024-03-15 11:30:00
TBA932847561021,2024-03-15 10:18:12,CX-8877,Night,F27,Good,On Time,Delivered,Good - On Time,USPS,SS-07,2024-03-15 14:00:00,2024-03-15 13:45:00,0,2024-03-15 10:19:00,2024-03-15 13:30:00
TBA932847561022,2024-03-15 10:31:44,CX-4521,Night,F22,Sortation,FC Missort,Wrong Route,FC Missort - Wrong Route,AMZL,SS-01,2024-03-15 12:00:00,2024-03-15 11:45:00,1,2024-03-15 10:32:00,2024-03-15 11:30:00
TBA932847561023,2024-03-15 10:45:29,CX-5566,Night,F31,Good,On Time,Delivered,Good - On Time,FedEx,SS-05,2024-03-15 14:00:00,2024-03-15 13:45:00,0,2024-03-15 10:46:00,2024-03-15 13:30:00
TBA932847561024,2024-03-15 11:02:17,CX-2211,Night,F15,Good,On Time,Delivered,Good - On Time,AMZL,SS-06,2024-03-15 14:00:00,2024-03-15 13:45:00,0,2024-03-15 11:03:00,2024-03-15 13:30:00
TBA932847561025,2024-03-16 06:15:33,CX-4521,Day,F12,Good,On Time,Delivered,Good - On Time,AMZL,SS-01,2024-03-16 08:00:00,2024-03-16 07:45:00,0,2024-03-16 06:16:00,2024-03-16 07:30:00
TBA932847561026,2024-03-16 06:28:41,CX-7832,Day,F18,Sortation,FC Missort,Wrong Route,FC Missort - Wrong Route,AMZL,SS-02,2024-03-16 08:00:00,2024-03-16 07:45:00,1,2024-03-16 06:29:00,2024-03-16 07:30:00
TBA932847561027,2024-03-16 06:42:55,CX-9011,Day,F05,Good,On Time,Delivered,Good - On Time,UPS,SS-03,2024-03-16 09:00:00,2024-03-16 08:50:00,0,2024-03-16 06:43:00,2024-03-16 08:30:00
TBA932847561028,2024-03-16 07:05:18,CX-3344,Day,F09,Sortation,Late to SLAM,Staffing Gap,Late to SLAM - Staffing,AMZL,SS-04,2024-03-16 08:00:00,2024-03-16 07:45:00,1,2024-03-16 07:06:00,2024-03-16 07:30:00
TBA932847561029,2024-03-16 07:22:33,CX-4521,Day,F12,Good,On Time,Delivered,Good - On Time,AMZL,SS-01,2024-03-16 09:00:00,2024-03-16 08:50:00,0,2024-03-16 07:23:00,2024-03-16 08:30:00
TBA932847561030,2024-03-16 07:38:47,CX-5566,Day,F31,Good,On Time,Delivered,Good - On Time,FedEx,SS-05,2024-03-16 11:00:00,2024-03-16 10:45:00,0,2024-03-16 07:39:00,2024-03-16 10:30:00
TBA932847561031,2024-03-16 07:55:12,CX-7832,Day,F18,Sortation,Chute Missort,Wrong Chute,Chute Missort - Wrong Chute,AMZL,SS-02,2024-03-16 09:00:00,2024-03-16 08:50:00,1,2024-03-16 07:56:00,2024-03-16 08:30:00
TBA932847561032,2024-03-16 08:11:29,CX-2211,Day,F15,Good,On Time,Delivered,Good - On Time,AMZL,SS-06,2024-03-16 10:00:00,2024-03-16 09:45:00,0,2024-03-16 08:12:00,2024-03-16 09:30:00
TBA932847561033,2024-03-16 08:28:44,CX-8877,Day,F27,Good,On Time,Delivered,Good - On Time,USPS,SS-07,2024-03-16 12:00:00,2024-03-16 11:45:00,0,2024-03-16 08:29:00,2024-03-16 11:30:00
TBA932847561034,2024-03-16 08:45:58,CX-9011,Day,F05,Sortation,Late to Divert,Equipment Jam,Late to Divert - Jam,UPS,SS-03,2024-03-16 09:00:00,2024-03-16 08:50:00,1,2024-03-16 08:55:00,2024-03-16 08:30:00
TBA932847561035,2024-03-16 09:05:33,CX-4521,Night,F22,Good,On Time,Delivered,Good - On Time,AMZL,SS-01,2024-03-16 12:00:00,2024-03-16 11:45:00,0,2024-03-16 09:06:00,2024-03-16 11:30:00
TBA932847561036,2024-03-16 09:22:17,CX-3344,Night,F09,Good,On Time,Delivered,Good - On Time,AMZL,SS-04,2024-03-16 12:00:00,2024-03-16 11:45:00,0,2024-03-16 09:23:00,2024-03-16 11:30:00
TBA932847561037,2024-03-16 09:38:42,CX-7832,Night,F18,Sortation,FC Missort,Wrong Route,FC Missort - Wrong Route,AMZL,SS-02,2024-03-16 12:00:00,2024-03-16 11:45:00,1,2024-03-16 09:39:00,2024-03-16 11:30:00
TBA932847561038,2024-03-16 09:55:11,CX-5566,Night,F31,Good,On Time,Delivered,Good - On Time,FedEx,SS-05,2024-03-16 14:00:00,2024-03-16 13:45:00,0,2024-03-16 09:56:00,2024-03-16 13:30:00
TBA932847561039,2024-03-16 10:12:28,CX-2211,Night,F15,Sortation,Chute Missort,Configuration Error,Chute Missort - Config,AMZL,SS-06,2024-03-16 12:00:00,2024-03-16 11:45:00,1,2024-03-16 10:13:00,2024-03-16 11:30:00
TBA932847561040,2024-03-16 10:28:55,CX-4521,Night,F12,Good,On Time,Delivered,Good - On Time,AMZL,SS-01,2024-03-16 14:00:00,2024-03-16 13:45:00,0,2024-03-16 10:29:00,2024-03-16 13:30:00
TBA932847561041,2024-03-16 10:45:19,CX-9011,Night,F05,Good,On Time,Delivered,Good - On Time,UPS,SS-03,2024-03-16 14:00:00,2024-03-16 13:45:00,0,2024-03-16 10:46:00,2024-03-16 13:30:00
TBA932847561042,2024-03-16 11:02:33,CX-8877,Night,F27,Good,On Time,Delivered,Good - On Time,USPS,SS-07,2024-03-16 14:00:00,2024-03-16 13:45:00,0,2024-03-16 11:03:00,2024-03-16 13:30:00
TBA932847561043,2024-03-17 06:18:45,CX-4521,Day,F12,Good,On Time,Delivered,Good - On Time,AMZL,SS-01,2024-03-17 08:00:00,2024-03-17 07:45:00,0,2024-03-17 06:19:00,2024-03-17 07:30:00
TBA932847561044,2024-03-17 06:35:12,CX-7832,Day,F18,Sortation,Late to SLAM,Processing Delay,Late to SLAM - Processing,AMZL,SS-02,2024-03-17 08:00:00,2024-03-17 07:45:00,1,2024-03-17 06:36:00,2024-03-17 07:30:00
TBA932847561045,2024-03-17 06:52:28,CX-3344,Day,F09,Good,On Time,Delivered,Good - On Time,AMZL,SS-04,2024-03-17 09:00:00,2024-03-17 08:50:00,0,2024-03-17 06:53:00,2024-03-17 08:30:00
TBA932847561046,2024-03-17 07:08:44,CX-9011,Day,F05,Good,On Time,Delivered,Good - On Time,UPS,SS-03,2024-03-17 09:00:00,2024-03-17 08:50:00,0,2024-03-17 07:09:00,2024-03-17 08:30:00
TBA932847561047,2024-03-17 07:25:11,CX-5566,Day,F31,Sortation,FC Missort,Wrong Route,FC Missort - Wrong Route,FedEx,SS-05,2024-03-17 09:00:00,2024-03-17 08:50:00,1,2024-03-17 07:26:00,2024-03-17 08:30:00
TBA932847561048,2024-03-17 07:42:33,CX-4521,Day,F22,Sortation,Chute Missort,Wrong Chute,Chute Missort - Wrong Chute,AMZL,SS-01,2024-03-17 09:00:00,2024-03-17 08:50:00,1,2024-03-17 07:43:00,2024-03-17 08:30:00
TBA932847561049,2024-03-17 07:58:19,CX-2211,Day,F15,Good,On Time,Delivered,Good - On Time,AMZL,SS-06,2024-03-17 10:00:00,2024-03-17 09:45:00,0,2024-03-17 07:59:00,2024-03-17 09:30:00
